airline,avail_seat_km_per_week,year_range,type_of_event,n_events
El Al,335448023,85_99,fatalities,4
Ethiopian Airlines,488560643,85_99,fatalities,167
Finnair,506464950,85_99,fatalities,0
Garuda Indonesia,613356665,85_99,fatalities,260
Gulf Air,301379762,85_99,fatalities,0
Hawaiian Airlines,493877795,85_99,fatalities,0
Iberia,1173203126,85_99,fatalities,148
Japan Airlines,1574217531,85_99,fatalities,520
Kenya Airways,277414794,85_99,fatalities,0
KLM*,1874561773,85_99,fatalities,3
Korean Air,1734522605,85_99,fatalities,425
LAN Airlines,1001965891,85_99,fatalities,21
Lufthansa*,3426529504,85_99,fatalities,2
Malaysia Airlines,1039171244,85_99,fatalities,34
Pakistan International,348563137,85_99,fatalities,234
Philippine Airlines,413007158,85_99,fatalities,74
Qantas*,1917428984,85_99,fatalities,0
Royal Air Maroc,295705339,85_99,fatalities,51
SAS*,682971852,85_99,fatalities,0
Saudi Arabian,859673901,85_99,fatalities,313
Singapore Airlines,2376857805,85_99,fatalities,6
South African,651502442,85_99,fatalities,159
Southwest Airlines,3276525770,85_99,fatalities,0
Sri Lankan / AirLanka,325582976,85_99,fatalities,14
SWISS*,792601299,85_99,fatalities,229
TACA,259373346,85_99,fatalities,3
TAM,1509195646,85_99,fatalities,98
TAP - Air Portugal,619130754,85_99,fatalities,0
Thai Airways,1702802250,85_99,fatalities,308
Turkish Airlines,1946098294,85_99,fatalities,64
United / Continental*,7139291291,85_99,fatalities,319
US Airways / America West*,2455687887,85_99,fatalities,224
Vietnam Airlines,625084918,85_99,fatalities,171
Virgin Atlantic,1005248585,85_99,fatalities,0
Xiamen Airlines,430462962,85_99,fatalities,82
Aer Lingus,320906734,00_14,incidents,0
Aeroflot*,1197672318,00_14,incidents,6
Aerolineas Argentinas,385803648,00_14,incidents,1
Aeromexico*,596871813,00_14,incidents,5
Air Canada,1865253802,00_14,incidents,2
Air France,3004002661,00_14,incidents,6
Air India*,869253552,00_14,incidents,4
Air New Zealand*,710174817,00_14,incidents,5
Alaska Airlines*,965346773,00_14,incidents,5
Alitalia,698012498,00_14,incidents,4
All Nippon Airways,1841234177,00_14,incidents,7
American*,5228357340,00_14,incidents,17
Austrian Airlines,358239823,00_14,incidents,1
Avianca,396922563,00_14,incidents,0
British Airways*,3179760952,00_14,incidents,6
Cathay Pacific*,2582459303,00_14,incidents,2
China Airlines,813216487,00_14,incidents,2
