lat,lon,cluster,enrollment
40.8772,-73.9127,1,433
40.8483,-73.8936,1,213
40.8544,-73.8972,1,582
40.8703,-73.897,1,406
40.8703,-73.897,1,545
40.8597,-73.8884,1,472
40.8772,-73.9127,1,279
40.8555,-73.8825,1,243
40.8555,-73.8825,1,213
40.8604,-73.8603,6,158
40.8742,-73.8327,5,1911
40.8516,-73.8645,1,500
40.8604,-73.8603,6,483
40.8754,-73.8615,1,514
40.8604,-73.8603,6,40
40.8754,-73.8615,1,400
40.8742,-73.8327,1,348
40.8754,-73.8616,1,402
40.8754,-73.8616,1,472
40.8754,-73.8616,1,553
40.8604,-73.8603,1,655
40.8754,-73.8616,1,454
40.8604,-73.8603,1,478
40.8879,-73.8529,1,408
40.8879,-73.8529,1,402
40.8879,-73.8529,1,439
40.8604,-73.8607,1,249
40.8604,-73.8607,1,335
40.8234,-73.8985,1,187
40.8312,-73.8857,1,489
40.8415,-73.8752,1,524
40.8318,-73.8786,1,49
40.8318,-73.8786,1,464
40.8318,-73.8786,1,337
40.8437,-73.89,1,333
40.8277,-73.897,1,179
40.8369,-73.8877,1,604
40.8362,-73.8903,1,31
40.8274,-73.9006,1,521
40.8363,-73.8903,1,358
40.8314,-73.8783,1,656
40.8277,-73.897,1,314
40.8438,-73.8842,1,551
40.8318,-73.8786,1,391
40.8314,-73.8783,1,316
40.8271,-73.9006,1,323
40.8234,-73.8985,1,199
40.8363,-73.8903,1,237
40.8318,-73.8786,1,309
40.6848,-73.9468,1,103
40.6974,-73.9847,6,531
40.6974,-73.9847,6,342
40.6889,-73.9766,5,5457
40.6954,-73.9861,6,698
40.6955,-73.9689,6,908
40.6786,-73.9617,6,629
40.6968,-73.9761,1,490
40.6853,-73.9539,6,362
40.6848,-73.9468,1,149
40.695,-73.9885,6,450
40.6974,-73.9847,6,399
40.6946,-73.9883,6,510
40.6925,-73.9583,1,404
40.6925,-73.9583,1,216
40.6954,-73.9861,6,456
40.6866,-73.98,6,31
40.6853,-73.9936,6,274
40.6849,-73.9909,6,560
40.6838,-73.9804,6,818
40.6695,-73.979,6,385
40.6853,-73.9936,6,480
40.6778,-74.0141,6,146
40.6796,-74.0019,6,670
40.6695,-73.979,6,380
40.6695,-73.979,6,273
40.6429,-73.9926,1,215
40.6872,-73.9815,6,93
