lat,lon,cluster,enrollment
42.0368,-88.0629,5,2359
42.1327,-88.0226,5,2715
42.0275,-88.1072,5,2302
42.0945,-88.0659,4,2725
42.0183,-88.1467,3,34
42.0953,-88.035,6,39
41.8805,-87.8334,5,1644
41.8677,-87.9006,5,2005
41.8651,-87.8325,6,821
41.7543,-87.7722,5,1789
41.5229,-87.7055,6,1308
41.4814,-87.6921,1,1065
41.4855,-87.737,1,1085
41.9609,-87.8148,3,782
41.8287,-87.8302,4,1500
41.6148,-87.5436,5,1612
41.5585,-87.5413,5,1815
41.6214,-87.5985,1,1222
41.6185,-87.6438,5,1766
41.5825,-87.6051,5,1884
