"Politics","Count","district"
"Very Liberal","87000","US:NJ04"
"Liberal","170000","US:NJ04"
"Moderate","170000","US:NJ04"
"Conservative","60000","US:NJ04"
"Very Conservative","28000","US:NJ04"
