"Politics","Count","district"
"Very Liberal","62000","US:AZ02"
"Liberal","160000","US:AZ02"
"Moderate","160000","US:AZ02"
"Conservative","100000","US:AZ02"
"Very Conservative","60000","US:AZ02"
