"Politics","Count","district"
"Very Liberal","41000","US:AZ01"
"Liberal","110000","US:AZ01"
"Moderate","150000","US:AZ01"
"Conservative","110000","US:AZ01"
"Very Conservative","72000","US:AZ01"
