status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,ext_media_type,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,total_interactions
1050116372011896832,2018-10-10T20:10:27Z,144592995,Rbloggers,First steps of data exploration and visualization with Tidyverse https://t.co/GRZ2G5BAjs #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,60,18,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
1050104984048676864,2018-10-10T19:25:12Z,144592995,Rbloggers,New Course: Developing R Packages https://t.co/Xp2Zaa20vG #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,35,10,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45
1050099978616627206,2018-10-10T19:05:19Z,144592995,Rbloggers,GeoJSON  Version of CBC Quebec Ridings Hex Cartograms with  Example Usage in R https://t.co/a3CBwTqEEm #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,11,6,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
1050076054373711872,2018-10-10T17:30:15Z,144592995,Rbloggers,Data Science With R Course Series – Week 4 https://t.co/TXjtGkQawv #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,38,9,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47
1050045880479428608,2018-10-10T15:30:21Z,144592995,Rbloggers,New Course: Mixture Models in R https://t.co/fmMXxf0Fkk #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,69,18,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87
1050016950594793472,2018-10-10T13:35:24Z,144592995,Rbloggers,"Open Workshop: Data Visualization in R and ggplot2, November 8th in Frankfurt https://t.co/nlIUELYDpC #rstats #DataScience",r-bloggers.com,NA,NA,NA,FALSE,FALSE,24,6,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
1050014528635846656,2018-10-10T13:25:46Z,144592995,Rbloggers,"October, grant proposal season https://t.co/si5zzlQlTa #rstats #DataScience",r-bloggers.com,NA,NA,NA,FALSE,FALSE,8,3,NA,ca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
1049989356369444864,2018-10-10T11:45:45Z,144592995,Rbloggers,"In regression, we assume noise is independent of all measured predictors. What happens if it https://t.co/Nr4R7EHt5S #rstats #DataScience",r-bloggers.com,NA,NA,NA,FALSE,FALSE,68,27,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95
1049983026543906816,2018-10-10T11:20:35Z,144592995,Rbloggers,Using R to help plan the future of transport. Join MünsteR for our next meetup! https://t.co/zTCPq4g3Dv #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,27,9,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
1049937642907942913,2018-10-10T08:20:15Z,144592995,Rbloggers,One-Sided Matches in the English Premier League https://t.co/18kgTz5mVt #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,7,6,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
1049925062772621312,2018-10-10T07:30:16Z,144592995,Rbloggers,R Consortium grant applications due October 31 https://t.co/3NkJe4rasl #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,5,7,NA,ca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
1049845793031630848,2018-10-10T02:15:16Z,144592995,Rbloggers,Parsing Metadata with R – A Package Story https://t.co/knoPQbU7jH #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,27,8,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
1049826941526794242,2018-10-10T01:00:22Z,144592995,Rbloggers,RStudio 1.2 Preview: Reticulated Python https://t.co/BgGz0MdU3i #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,47,17,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64
1049801751522611201,2018-10-09T23:20:16Z,144592995,Rbloggers,Big Data-2: Move into the big league:Graduate from R to SparkR https://t.co/pM2U3idQ71 #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,28,9,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37
1049777854739861506,2018-10-09T21:45:19Z,144592995,Rbloggers,How to build your own Neural Network from scratch in R https://t.co/7qZyhYXVjJ #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,206,70,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276
1049752662386909184,2018-10-09T20:05:12Z,144592995,Rbloggers,The world (population) is changing https://t.co/lHkAH12enw #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,15,9,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
1049736011880779776,2018-10-09T18:59:03Z,144592995,Rbloggers,Running the Same Task in Python and R https://t.co/bseWQcH7sw #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,77,22,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99
1049692289113698305,2018-10-09T16:05:18Z,144592995,Rbloggers,Project Euler in R https://t.co/rs6uUwVIbE #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,34,10,NA,fr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44
1049543795153522688,2018-10-09T06:15:15Z,144592995,Rbloggers,A question and an answer about recoding several factors simultaneously in R https://t.co/76AV9rkGbQ #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,18,11,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
1049459529086394369,2018-10-09T00:40:24Z,144592995,Rbloggers,Prettify your Shiny Tables with DT: Exercises https://t.co/YgX5NKRhnk #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,32,7,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39
1049430563579400192,2018-10-08T22:45:18Z,144592995,Rbloggers,Working with panel data in R: Fixed vs. Random Effects (plm) https://t.co/DnmNfRUcRp #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,76,21,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97
1049392823026548737,2018-10-08T20:15:20Z,144592995,Rbloggers,Are you buying an apartment? How to hack competition in the real estate market with data https://t.co/kfFfpbTXgY #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,22,7,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
1049387807209414656,2018-10-08T19:55:24Z,144592995,Rbloggers,Announcing MCHT: An R Package for Bootstrap and Monte Carlo Hypothesis Testing https://t.co/wFGbWzp01g #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,51,13,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64
1049385258460827651,2018-10-08T19:45:16Z,144592995,Rbloggers,Extending sparklyr: Data Types https://t.co/9uKsi4t8l4 #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,11,6,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
1049382730155405312,2018-10-08T19:35:14Z,144592995,Rbloggers,Testing Entry with R Rmarkdown File https://t.co/wsbnWjQoSN #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,23,2,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
1049357638457327617,2018-10-08T17:55:31Z,144592995,Rbloggers,Journalism: A Highly Dangerous Job Around the World https://t.co/HtyaxDOq7L #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,9,4,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
1049341260425834496,2018-10-08T16:50:26Z,144592995,Rbloggers,Distinguish yourself in CRAN person() with ORCID https://t.co/dcY6EVxums #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,4,4,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
1049331264686309376,2018-10-08T16:10:43Z,144592995,Rbloggers,Andrew Gelman  discusses election forecasting and polling. (Transcript) https://t.co/1G2r596h8x #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,23,9,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
1049264476556615682,2018-10-08T11:45:20Z,144592995,Rbloggers,Acquiring data for language research (1/3): direct downloads https://t.co/Elk4E2E5TN #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,12,4,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
1049262145941241857,2018-10-08T11:36:04Z,144592995,Rbloggers,Predicting height based on DNA mutations https://t.co/KwXc46wGm3 #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,9,3,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
1049243076793913345,2018-10-08T10:20:18Z,144592995,Rbloggers,16 Personalities with Circlize https://t.co/VUHuKMf5aN #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,12,1,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
1049238058279821312,2018-10-08T10:00:21Z,144592995,Rbloggers,R and Python: How to Integrate the Best of Both into Your Data Science Workflow https://t.co/I7bGWKKEe4 #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,221,88,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309
1049200358021586944,2018-10-08T07:30:33Z,144592995,Rbloggers,Will Brazil Goes to a Instant Runoff Election? https://t.co/O5inKGSdWQ #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,2,2,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
1049176359501799429,2018-10-08T05:55:11Z,144592995,Rbloggers,Infamous Inf – Part II https://t.co/CTKO6sxuDI #rstats #DataScience,r-bloggers.com,NA,NA,NA,FALSE,FALSE,1,0,NA,es,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
