name,pop,lat,lon,count,percent
Hayward,158937,37.6327,-122.0776,4,0.03%
Round Rock,120892,30.5253,-97.6659,4,0.03%
Westminster,113875,39.8837,-105.0627,4,0.03%
Billings,110323,45.7892,-108.5498,4,0.03%
Burbank,104447,34.188,-118.3234,4,0.03%
Las Cruces,101759,32.3265,-106.7893,4,0.03%
Roanoke,99660,37.2784,-79.9581,4,0.03%
Longmont,92858,40.1691,-105.0995,4,0.03%
Carmel,91065,39.9658,-86.1461,4,0.03%
Suffolk,89273,36.6953,-76.6398,4,0.03%
Bellingham,87574,48.7534,-122.4683,4,0.03%
Duluth,86293,46.7797,-92.1334,4,0.03%
Pleasanton,82270,37.666,-121.8805,4,0.03%
Alameda,78906,37.767,-122.2673,4,0.03%
Milpitas,77528,37.4338,-121.8921,4,0.03%
Missoula,72364,46.8687,-114.0089,4,0.03%
Jupiter,63813,26.9195,-80.1123,4,0.03%
Waltham,63002,42.3889,-71.2423,4,0.03%
Coral Gables,50815,25.7037,-80.2715,4,0.03%
Campbell,40939,37.2803,-121.9543,4,0.03%
Lubbock,252506,33.5665,-101.8867,3,0.02%
Amarillo,199582,35.1999,-101.8297,3,0.02%
Overland Park,188966,38.8871,-94.6871,3,0.02%
Santa Rosa,175155,38.4465,-122.7059,3,0.02%
Lakewood,154393,39.6977,-105.117,3,0.02%
Rockford,147651,42.2594,-89.0646,3,0.02%
Naperville,147122,41.7483,-88.1656,3,0.02%
Savannah,146763,32.0282,-81.1784,3,0.02%
Olathe,135473,38.884,-94.8194,3,0.02%
Carrollton,133351,32.9885,-96.9001,3,0.02%
Murfreesboro,131947,35.851,-86.4093,3,0.02%
Thousand Oaks,128888,34.1914,-118.8755,3,0.02%
Fairfield,114756,38.2593,-122.0319,3,0.02%
Richardson,113347,32.9717,-96.7092,3,0.02%
West Palm Beach,108161,26.7468,-80.1315,3,0.02%
Daly City,106472,37.6863,-122.4684,3,0.02%
Hillsboro,105164,45.5289,-122.9373,3,0.02%
Renton,100953,47.4757,-122.1904,3,0.02%
Nashua,87882,42.7492,-71.491,3,0.02%
Chino,87776,33.9836,-117.6653,3,0.02%
Newport Beach,86688,33.6151,-117.8669,3,0.02%
Clifton,85845,40.8631,-74.1575,3,0.02%
Mission,83563,26.204,-98.3251,3,0.02%
Medford,81636,42.3372,-122.8537,3,0.02%
Farmington Hills,81129,42.486,-83.3771,3,0.02%
Napa,80416,38.2982,-122.3011,3,0.02%
San Ramon,75639,37.7625,-121.9366,3,0.02%
Franklin,74794,35.9215,-86.8522,3,0.02%
Georgetown,67140,30.6669,-97.694,3,0.02%
Encinitas,63131,33.0492,-117.2613,3,0.02%
Rocklin,62787,38.8078,-121.2491,3,0.02%
Brentwood,60532,37.9356,-121.719,3,0.02%
Ankeny,58627,41.7279,-93.6033,3,0.02%
White Plains,58241,41.022,-73.7548,3,0.02%
Bradenton,55687,27.49,-82.5746,3,0.02%
Shoreline,55333,47.7563,-122.3425,3,0.02%
Normal,54264,40.522,-88.9877,3,0.02%
Harrisonburg,53078,38.4362,-78.8735,3,0.02%
Oak Park,51774,41.8872,-87.7899,3,0.02%
Bedford,49528,32.8464,-97.135,3,0.02%
Monroe,49297,32.5184,-92.0775,3,0.02%
Apex,47349,35.7248,-78.866,3,0.02%
Keller,46646,32.9337,-97.2256,3,0.02%
Binghamton,45672,42.1014,-75.9092,3,0.02%
DeKalb,43194,41.9299,-88.7478,3,0.02%
Germantown,39056,35.083,-89.7824,3,0.02%
Virginia Beach,452602,36.7335,-76.0435,2,0.01%
Wichita,389902,37.6894,-97.344,2,0.01%
Aurora,361710,39.7085,-104.7274,2,0.01%
Santa Ana,334217,33.7366,-117.8819,2,0.01%
Stockton,307072,37.9766,-121.3111,2,0.01%
Chula Vista,267172,32.6281,-117.0144,2,0.01%
Chandler,247477,33.2828,-111.8517,2,0.01%
Mobile,192904,30.6782,-88.1161,2,0.01%
Brownsville,183823,25.9981,-97.4566,2,0.01%
Cape Coral,179804,26.644,-81.9961,2,0.01%
Sioux Falls,174360,43.5382,-96.7315,2,0.01%
Frisco,163656,33.1551,-96.8219,2,0.01%
Warren,135125,42.4934,-83.027,2,0.01%
Elizabeth,128640,40.6655,-74.1918,2,0.01%
Simi Valley,126327,34.2663,-118.749,2,0.01%
Abilene,122225,32.4543,-99.7384,2,0.01%
Allentown,120443,40.5962,-75.4756,2,0.01%
Odessa,117871,31.8831,-102.3407,2,0.01%
Arvada,117453,39.8321,-105.1508,2,0.01%
Clearwater,114361,27.9787,-82.7623,2,0.01%
Costa Mesa,112822,33.6667,-117.9135,2,0.01%
Pueblo,110291,38.2701,-104.613,2,0.01%
Santa Maria,106290,34.9334,-120.4433,2,0.01%
Tyler,104798,32.3184,-95.3065,2,0.01%
Kenosha,99631,42.5861,-87.8755,2,0.01%
Beaverton,97590,45.4779,-122.8168,2,0.01%
Orem,97499,40.2988,-111.699,2,0.01%
San Marcos,95261,33.135,-117.1743,2,0.01%
Miami Beach,91917,25.8171,-80.1396,2,0.01%
Chico,91567,39.7568,-121.816,2,0.01%
San Leandro,90465,37.7071,-122.1601,2,0.01%
Newton,89045,42.3317,-71.2085,2,0.01%
Sugar Land,88177,29.5956,-95.6283,2,0.01%
Ogden,86701,41.2281,-111.9677,2,0.01%
Tustin,80395,33.7309,-117.8106,2,0.01%
Deerfield Beach,79764,26.305,-80.1278,2,0.01%
Folsom,77271,38.6751,-121.1476,2,0.01%
Fort Myers,77146,26.6197,-81.8306,2,0.01%
Loveland,76897,40.4168,-105.0622,2,0.01%
Bethlehem,75293,40.6266,-75.3679,2,0.01%
Canton,71323,40.8082,-81.3678,2,0.01%
Pasco,70579,46.2499,-119.1271,2,0.01%
Weston,70015,26.1003,-80.4052,2,0.01%
Muncie,69010,40.1989,-85.395,2,0.01%
Eau Claire,68339,44.8202,-91.4948,2,0.01%
Camarillo,67363,34.223,-119.0325,2,0.01%
Shawnee,65194,39.0158,-94.8076,2,0.01%
Rogers,65021,36.3172,-94.1515,2,0.01%
Madera,64444,36.964,-120.0803,2,0.01%
Cheyenne,64019,41.1418,-104.7943,2,0.01%
Sammamish,63773,47.6045,-122.0446,2,0.01%
Marietta,60941,33.9532,-84.542,2,0.01%
Terre Haute,60852,39.4654,-87.3763,2,0.01%
Malden,60840,42.4305,-71.0576,2,0.01%
Casper,59324,42.843,-106.3205,2,0.01%
Arcadia,58523,34.1342,-118.0373,2,0.01%
Des Plaines,58141,42.0343,-87.9008,2,0.01%
Novato,56004,38.092,-122.5576,2,0.01%
Rocky Mount,55466,35.9675,-77.8047,2,0.01%
Pocatello,54746,42.8716,-112.466,2,0.01%
West New York,53343,40.7856,-74.0093,2,0.01%
Lenexa,52903,38.9608,-94.802,2,0.01%
Kingsport,52806,36.522,-82.5452,2,0.01%
Brookhaven,52444,33.8746,-84.3315,2,0.01%
