year,icpsr_state_code,alphanumeric_state_code,state,votes,eligible_voters
1988,64,27,Montana,378981,568014
1988,35,28,Nebraska,678669,1125252
1988,65,29,Nevada,354261,768131
1988,4,30,New Hampshire,462503,800468
1988,12,31,New Jersey,3102502,5435008
1988,66,32,New Mexico,535694,1002876
1988,13,33,New York,6636310,12300666
1988,47,34,North Carolina,NA,4794041
1988,36,35,North Dakota,309100,466684
1988,24,36,Ohio,4505284,7869099
1988,53,37,Oklahoma,1192815,2245785
1988,72,38,Oregon,1235199,1982355
1988,14,39,Pennsylvania,NA,8892826
1988,5,40,Rhode Island,415963,721773
1988,48,41,South Carolina,1041846,2453644
1988,37,42,South Dakota,NA,494034
1988,54,43,Tennessee,NA,3551452
1988,49,44,Texas,NA,10833436
1988,67,45,Utah,661546,1043170
1988,6,46,Vermont,270148,404795
1988,40,47,Virginia,NA,4396900
1988,73,48,Washington,1923043,3282173
1988,56,49,West Virginia,NA,1347692
1988,25,50,Wisconsin,NA,3489742
1988,68,51,Wyoming,186417,315073
1986,0,0,United States,NA,170396029
1986,41,1,Alabama,NA,2869652
1986,81,2,Alaska,182526,351841
1986,61,3,Arizona,889668,2319046
1986,42,4,Arkansas,NA,1681564
1986,71,5,California,7617142,17166275
1986,62,6,Colorado,1096867,2309652
1986,1,7,Connecticut,1025605,2344327
1986,11,8,Delaware,165563,455609
1986,55,9,District of Columbia,134158,465993
1986,43,10,Florida,NA,8384015
1986,44,11,Georgia,NA,4300049
1986,82,12,Hawaii,344416,715459
1986,63,13,Idaho,392909,663126
1986,21,14,Illinois,3322657,7912733
1986,22,15,Indiana,1619005,3943714
1986,31,16,Iowa,922094,2020678
1986,32,17,Kansas,NA,1757001
1986,51,18,Kentucky,NA,2661218
1986,45,19,Louisiana,NA,3014498
1986,2,20,Maine,NA,858200
1986,52,21,Maryland,1161136,3216833
1986,3,22,Massachusetts,1777276,4326264
1986,23,23,Michigan,2468009,6520661
1986,33,24,Minnesota,1456579,3024070
1986,46,25,Mississippi,NA,1782721
1986,34,26,Missouri,NA,3655213
1986,64,27,Montana,326436,572113
1986,35,28,Nebraska,577916,1123099
1986,65,29,Nevada,264365,700192
1986,4,30,New Hampshire,257410,760526
1986,12,31,New Jersey,1639330,5396487
1986,66,32,New Mexico,408621,987220
1986,13,33,New York,4481718,12263480
1986,47,34,North Carolina,NA,4653016
1986,36,35,North Dakota,295177,473962
1986,24,36,Ohio,3628870,7781083
1986,53,37,Oklahoma,934447,2290182
1986,72,38,Oregon,1088140,1928782
1986,14,39,Pennsylvania,NA,8820459
1986,5,40,Rhode Island,322724,711034
1986,48,41,South Carolina,763493,2393329
1986,37,42,South Dakota,NA,492333
1986,54,43,Tennessee,NA,3478867
1986,49,44,Texas,NA,10786533
1986,67,45,Utah,445499,1024337
1986,6,46,Vermont,211709,389843
1986,40,47,Virginia,NA,4240797
1986,73,48,Washington,1358160,3151152
1986,56,49,West Virginia,449249,1370305
1986,25,50,Wisconsin,NA,3432034
1986,68,51,Wyoming,168615,328971
1984,0,0,United States,NA,167701904
1984,41,1,Alabama,NA,2831099
1984,81,2,Alaska,213173,343030
1984,61,3,Arizona,1051339,2151391
1984,42,4,Arkansas,NA,1668136
1984,71,5,California,9796375,16618345
1984,62,6,Colorado,1343437,2267668
1984,1,7,Connecticut,1490946,2300533
1984,11,8,Delaware,258182,442354
1984,55,9,District of Columbia,219193,471669
1984,43,10,Florida,NA,7976805
1984,44,11,Georgia,NA,4119852
1984,82,12,Hawaii,349253,694187
1984,63,13,Idaho,421935,662771
1984,21,14,Illinois,4969352,7922605
1984,22,15,Indiana,2268493,3916362
1984,31,16,Iowa,1339886,2057482
1984,32,17,Kansas,NA,1751223
1984,51,18,Kentucky,NA,2643027
1984,45,19,Louisiana,NA,3019930
1984,2,20,Maine,NA,840251
1984,52,21,Maryland,1695924,3113967
1984,3,22,Massachusetts,2595054,4273437
1984,23,23,Michigan,3884854,6407156
1984,33,24,Minnesota,2115317,2982015
1984,46,25,Mississippi,NA,1766654
1984,34,26,Missouri,NA,3617948
1984,64,27,Montana,395006,578925
1984,35,28,Nebraska,670781,1135012
1984,65,29,Nevada,294413,656862
1984,4,30,New Hampshire,406608,718967
1984,12,31,New Jersey,3215941,5318696
1984,66,32,New Mexico,522328,956246
1984,13,33,New York,7000828,12232120
1984,47,34,North Carolina,NA,4512013
1984,36,35,North Dakota,324179,482655
1984,24,36,Ohio,4664223,7732456
1984,53,37,Oklahoma,1290555,2324445
1984,72,38,Oregon,1265824,1906880
1984,14,39,Pennsylvania,NA,8790815
1984,5,40,Rhode Island,422851,697537
1984,48,41,South Carolina,1018701,2329080
1984,37,42,South Dakota,NA,494651
1984,54,43,Tennessee,NA,3415760
1984,49,44,Texas,NA,10582774
1984,67,45,Utah,641846,998820
1984,6,46,Vermont,235140,381479
1984,40,47,Virginia,NA,4100160
1984,73,48,Washington,1931546,3072714
1984,56,49,West Virginia,NA,1391427
1984,25,50,Wisconsin,NA,3409202
1984,68,51,Wyoming,196153,338733
1982,0,0,United States (Excl. Louisiana),NA,160466919
1982,41,1,Alabama,NA,2780689
1982,81,2,Alaska,199458,307558
1982,61,3,Arizona,742923,2017098
1982,42,4,Arkansas,NA,1639482
1982,71,5,California,8064314,16161555
1982,62,6,Colorado,1037774,2196263
1982,1,7,Connecticut,1112428,2253328
1982,11,8,Delaware,195726,430257
1982,55,9,District of Columbia,NA,470719
1982,43,10,Florida,NA,7565499
1982,44,11,Georgia,NA,3945107
1982,82,12,Hawaii,325459,671172
1982,63,13,Idaho,332237,650534
1982,21,14,Illinois,3856875,7908220
1982,22,15,Indiana,1834225,3879314
1982,31,16,Iowa,1050495,2068844
1982,32,17,Kansas,NA,1736298
1982,51,18,Kentucky,NA,2615445
1982,45,19,Louisiana,NA,2982702
1982,2,20,Maine,NA,817814
1982,52,21,Maryland,1190011,3034834
1982,3,22,Massachusetts,2103780,4184146
1982,23,23,Michigan,3135928,6357552
1982,33,24,Minnesota,1834737,2943169
1982,46,25,Mississippi,NA,1743267
1982,34,26,Missouri,NA,3567803
1982,64,27,Montana,328082,569629
1982,35,28,Nebraska,559422,1128918
1982,65,29,Nevada,242578,621060
1982,4,30,New Hampshire,289057,686264
1982,12,31,New Jersey,2286925,5224732
1982,66,32,New Mexico,417945,919311
1982,13,33,New York,5437367,12118685
1982,47,34,North Carolina,NA,4347870
1982,36,35,North Dakota,272876,476851
1982,24,36,Ohio,3551995,7692059
1982,53,37,Oklahoma,901488,2302670
1982,72,38,Oregon,1063913,1895706
1982,14,39,Pennsylvania,NA,8749931
1982,5,40,Rhode Island,370928,684977
1982,48,41,South Carolina,688300,2260577
1982,37,42,South Dakota,NA,489474
1982,54,43,Tennessee,NA,3357236
1982,49,44,Texas,NA,10228820
1982,67,45,Utah,537207,962724
1982,6,46,Vermont,172084,372982
1982,40,47,Virginia,NA,3960296
1982,73,48,Washington,1404831,2999997
1982,56,49,West Virginia,NA,1399303
1982,25,50,Wisconsin,NA,3372875
1982,68,51,Wyoming,172065,344218
1980,0,0,United States,NA,159635102
1980,41,1,Alabama,NA,2726249
1980,81,2,Alaska,162653,270122
1980,61,3,Arizona,898183,1890167
1980,42,4,Arkansas,NA,1610104
1980,71,5,California,8775459,15610966
1980,62,6,Colorado,1225549,2071959
1980,1,7,Connecticut,1423403,2201356
1980,11,8,Delaware,239136,421344
1980,55,9,District of Columbia,178434,470956
1980,43,10,Florida,NA,7088658
1980,44,11,Georgia,NA,3791652
1980,82,12,Hawaii,318026,646583
1980,63,13,Idaho,446045,633624
1980,21,14,Illinois,4868890,7868300
1980,22,15,Indiana,2275433,3846321
1980,31,16,Iowa,1314258,2070935
1980,32,17,Kansas,NA,1704420
1980,51,18,Kentucky,NA,2562572
1980,45,19,Louisiana,NA,2868792
1980,2,20,Maine,NA,799746
1980,52,21,Maryland,1557709,2964704
1980,3,22,Massachusetts,2566807,4110721
1980,23,23,Michigan,3978647,6374955
1980,33,24,Minnesota,2079451,2882406
1980,46,25,Mississippi,NA,1704163
1980,34,26,Missouri,NA,3529489
1980,64,27,Montana,371976,554636
1980,35,28,Nebraska,651281,1115142
1980,65,29,Nevada,297318,573118
1980,4,30,New Hampshire,402415,660560
1980,12,31,New Jersey,2999879,5123773
1980,66,32,New Mexico,464848,873515
1980,13,33,New York,6359218,12006100
1980,47,34,North Carolina,NA,4203817
1980,36,35,North Dakota,314525,462223
1980,24,36,Ohio,4378937,7637813
1980,53,37,Oklahoma,1172303,2162051
1980,72,38,Oregon,1209691,1880863
1980,14,39,Pennsylvania,NA,8664166
1980,5,40,Rhode Island,423349,675067
1980,48,41,South Carolina,922397,2176721
1980,37,42,South Dakota,NA,484328
1980,54,43,Tennessee,NA,3285608
1980,49,44,Texas,NA,9572904
1980,67,45,Utah,609691,915484
1980,6,46,Vermont,215500,363143
1980,40,47,Virginia,NA,3830887
1980,73,48,Washington,1772904,2923670
1980,56,49,West Virginia,742150,1387231
1980,25,50,Wisconsin,NA,3322053
1980,68,51,Wyoming,181004,326644
